Clndrs,Volume,Model,origin,Lbs-,Acc+,Mpg+
8,304,70,1,4732,18.5,10
8,360,70,1,4615,14,10
8,307,70,1,4376,15,10
8,318,70,1,4382,13.5,10
8,429,72,1,4633,11,10
8,400,73,1,4997,14,10
8,350,73,1,3664,11,10
8,383,71,1,4955,11.5,10
8,350,72,1,4456,13.5,10
8,429,73,1,4952,11.5,10
8,455,73,1,4951,11,10
8,400,73,1,4906,12.5,10
8,350,73,1,4499,12.5,10
8,400,71,1,4746,12,10
8,400,71,1,5140,12,10
8,350,72,1,4274,12,10
8,350,72,1,4502,13.5,10
8,400,72,1,4422,12.5,10
8,307,72,1,4098,14,10
8,302,72,1,4294,16,10
8,350,73,1,4100,13,10
8,350,73,1,3988,13,10
8,400,73,1,4464,12,10
8,351,73,1,4363,13,10
8,440,73,1,4735,11,10
8,360,73,1,3821,11,10
8,360,73,1,4654,13,10
8,350,74,1,4699,14.5,10
8,302,75,1,3169,12,10
8,318,76,1,3940,13.2,10
8,350,76,1,4055,12,10
8,302,76,1,3870,15,10
8,318,76,1,3755,14,10
8,454,70,1,4354,9,10
8,440,70,1,4312,8.5,10
8,455,70,1,4425,10,10
8,340,70,1,3609,8,10
8,455,70,1,3086,10,10
8,350,71,1,4209,12,10
8,400,71,1,4464,11.5,10
8,351,71,1,4154,13.5,10
8,318,71,1,4096,13,10
8,400,72,1,4385,12,10
8,351,72,1,4129,13,10
8,318,72,1,4077,14,10
8,304,73,1,3672,11.5,10
8,302,73,1,4042,14.5,10
8,318,73,1,4237,14.5,10
8,318,74,1,4457,13.5,10
8,302,74,1,4638,16,10
8,304,74,1,4257,15.5,10
8,351,75,1,4657,13.5,10
8,351,76,1,4215,12.8,10
8,350,70,1,3693,11.5,20
8,429,70,1,4341,10,20
8,390,70,1,3850,8.5,20
8,383,70,1,3563,10,20
8,400,70,1,3761,9.5,20
8,318,72,1,4135,13.5,20
8,304,72,1,3892,12.5,20
8,318,73,1,3777,12.5,20
8,350,73,1,4082,13,20
8,318,73,1,3399,11,20
6,250,74,1,3336,17,20
6,250,75,1,3432,21,20
6,250,75,1,3158,19.5,20
8,350,75,1,4440,14,20
6,258,75,1,3730,19,20
8,302,77,1,4295,14.9,20
8,304,76,1,3962,13.9,20
8,318,77,1,4140,13.7,20
8,350,77,1,4165,11.4,20
8,400,77,1,4325,12.2,20
8,351,79,1,4054,14.3,20
8,304,70,1,3433,12,20
6,225,71,1,3439,15.5,20
6,250,73,1,3278,18,20
8,400,73,1,4278,9.5,20
6,250,74,1,3781,17,20
6,258,74,1,3632,18,20
8,302,74,1,4141,14,20
8,400,75,1,4668,11.5,20
8,318,75,1,4498,14.5,20
6,250,75,1,3897,18.5,20
8,318,76,1,4190,13,20
8,400,77,1,4220,11.1,20
8,351,77,1,4335,14.5,20
6,163,78,2,3410,15.8,20
6,168,76,2,3820,16.7,20
8,350,76,1,4380,12.1,20
8,351,79,1,3955,13.2,20
8,350,79,1,4360,14.9,20
8,302,70,1,3449,10.5,20
6,250,71,1,3329,15.5,20
8,304,72,1,3672,11.5,20
6,231,75,1,3907,21,20
8,260,77,1,4060,19,20
6,163,78,2,3140,13.6,20
8,305,79,1,3840,15.4,20
8,305,76,1,4215,13,20
6,258,76,1,3193,17.8,20
8,305,77,1,3880,12.5,20
6,250,77,1,3520,16.4,20
8,318,78,1,4080,13.7,20
8,302,79,1,3725,13.4,20
6,225,81,1,3465,16.6,20
6,231,78,1,3445,13.4,20
8,307,70,1,3504,12,20
8,318,70,1,3436,11,20
6,199,70,1,2774,15.5,20
6,232,71,1,3288,15.5,20
6,258,71,1,2962,13.5,20
6,250,71,1,3139,14.5,20
4,121,72,2,2933,14.5,20
6,225,73,1,3121,16.5,20
6,232,73,1,2945,16,20
6,250,73,1,3021,16.5,20
6,232,73,1,2789,15,20
3,70,73,3,2124,13.5,20
6,225,74,1,3613,16.5,20
6,250,75,1,3459,16,20
6,225,75,1,3785,19,20
6,171,75,1,2984,14.5,20
6,250,76,1,3574,21,20
6,258,78,1,3410,15.1,20
8,302,78,1,3205,11.2,20
8,318,79,1,3830,15.2,20
6,250,76,1,3645,16.2,20
6,250,77,1,3525,19,20
8,360,79,1,3940,13,20
6,225,78,1,3620,18.7,20
6,232,71,1,2634,13,20
6,250,71,1,3302,15.5,20
6,250,71,1,3282,15,20
3,70,72,3,2330,13.5,20
4,122,73,1,2310,18.5,20
4,121,73,2,2868,15.5,20
6,232,74,1,2901,16,20
6,225,75,1,3264,16,20
6,232,75,1,3211,17,20
4,120,76,2,3270,21.9,20
6,156,76,3,2930,15.5,20
6,225,77,1,3630,17.7,20
6,225,80,1,3381,18.7,20
6,231,78,1,3535,19.2,20
8,305,78,1,3425,13.2,20
8,267,79,1,3605,15,20
8,318,78,1,3735,13.2,20
6,232,78,1,3210,17.2,20
6,200,79,1,2990,18.2,20
8,260,78,1,3365,15.5,20
4,140,72,1,2408,19.5,20
4,97,73,3,2279,19,20
4,114,73,2,2582,14,20
6,156,73,3,2807,13.5,20
6,198,74,1,3102,16.5,20
8,262,75,1,3221,13.5,20
6,232,75,1,2914,16,20
6,225,76,1,3651,17.7,20
4,130,76,2,3150,15.7,20
8,302,78,1,3570,12.8,20
6,200,78,1,2965,15.8,20
6,232,79,1,3265,18.2,20
6,200,81,1,3060,17.1,20
5,131,78,2,2830,15.9,20
6,231,77,1,3425,16.9,20
6,200,78,1,3155,18.2,20
6,225,78,1,3430,17.2,20
6,231,78,1,3380,15.8,20
6,225,79,1,3360,16.6,20
6,200,78,1,3070,16.7,20
6,200,70,1,2587,16,20
6,199,70,1,2648,15,20
4,122,72,1,2226,16.5,20
4,120,72,2,2979,19.5,20
4,140,73,1,2401,19.5,20
6,155,73,1,2472,14,20
6,200,74,1,2875,17,20
6,231,75,1,3039,15,20
4,134,78,3,2515,14.8,20
4,121,77,2,2600,12.8,20
3,80,77,3,2720,13.5,20
6,231,79,1,3245,15.4,20
4,121,78,2,2795,15.7,20
6,198,70,1,2833,15.5,20
4,140,71,1,2408,19,20
4,121,72,2,2511,18,20
4,122,72,1,2395,16,20
4,108,73,3,2379,16.5,20
4,121,75,2,2945,14.5,20
6,225,76,1,3233,15.4,20
6,250,76,1,3353,14.5,20
6,146,77,3,2815,14.5,20
6,232,82,1,2835,14.7,20
4,140,79,1,2890,17.3,20
6,231,81,1,3415,15.8,20
6,232,76,1,3085,17.6,20
4,122,71,1,2220,14,20
4,97,72,2,2254,23.5,20
4,120,72,3,2506,14.5,20
6,198,73,1,2904,16,20
4,140,75,1,2639,17,20
4,140,75,1,2592,18.5,20
4,115,75,2,2694,15,20
4,120,75,2,2957,17,20
8,350,79,1,3900,17.4,20
4,151,82,1,3035,20.5,20
4,156,78,1,2745,16.7,20
6,173,81,1,2725,12.6,20
4,140,80,1,2905,14.3,20
3,70,80,3,2420,12.5,20
4,151,78,1,2855,17.6,20
4,119,78,3,2405,14.9,20
8,260,79,1,3420,22.2,20
4,113,70,3,2372,15,20
4,107,70,2,2430,14.5,20
4,113,72,3,2278,15.5,20
4,116,73,2,2158,15.5,20
4,121,73,2,2660,14,20
4,90,74,2,2108,15.5,20
4,120,74,3,2489,15,20
4,134,75,3,2702,13.5,20
4,119,75,3,2545,17,20
6,200,76,1,3012,17.6,20
4,140,82,1,2865,16.4,20
6,146,81,3,2930,13.8,20
4,151,80,1,3003,20.1,20
4,98,76,1,2164,22.1,20
4,151,77,1,2740,16,20
4,110,70,2,2672,17.5,30
4,104,70,2,2375,17.5,30
4,113,71,3,2228,14,30
4,98,71,1,2046,19,30
4,97.5,72,1,2126,17,30
4,140,74,1,2542,17,30
4,90,75,2,2223,16.5,30
4,121,75,2,2671,13.5,30
4,116,76,2,2220,16.9,30
4,140,76,1,2572,14.9,30
6,181,82,1,2945,16.4,30
4,140,78,1,2720,15.4,30
5,183,79,2,3530,20.1,30
6,168,81,3,2900,12.6,30
4,122,77,1,2300,15.5,30
4,140,77,1,2755,15.8,30
4,156,81,1,2620,14.4,30
4,97,70,2,1835,20.5,30
4,121,70,2,2234,12.5,30
4,91,71,1,1955,20.5,30
4,96,72,2,2189,18,30
4,97,73,2,1950,21,30
4,98,73,2,2265,15.5,30
4,122,74,1,2451,16.5,30
4,79,74,2,1963,15.5,30
4,97,74,2,2300,14.5,30
4,116,74,2,2246,14,30
4,108,74,3,2391,15.5,30
4,98,76,1,2255,17.7,30
4,97,77,3,2265,18.2,30
4,156,82,1,2585,14.5,30
4,140,80,1,2870,18.1,30
4,140,76,1,2565,13.6,30
4,151,81,1,2635,16.4,30
8,350,81,1,3725,19,30
6,173,79,1,2700,12.9,30
4,97,70,3,2130,14.5,30
4,97,71,3,2130,14.5,30
4,97,71,2,1834,19,30
4,97,72,3,2100,16.5,30
4,101,76,2,2202,15.3,30
4,112,82,1,2640,18.6,30
4,151,82,1,2735,18,30
4,151,82,1,2950,17.3,30
4,140,82,1,2790,15.6,30
4,119,78,3,2300,14.7,30
4,141,79,2,3190,24.8,30
4,135,81,1,2490,15.7,30
4,121,79,1,2670,15,30
4,134,78,3,2560,14.2,30
4,156,80,1,2800,14.4,30
4,140,71,1,2264,15.5,30
4,116,71,2,2123,14,30
4,97,72,3,2288,17,30
4,98,72,1,2164,15,30
4,90,74,1,2125,14.5,30
4,107,76,2,2464,15.5,30
4,97,76,3,2155,16.4,30
4,151,80,1,2678,16.5,30
4,112,82,1,2605,19.6,30
4,120,82,1,2625,18.6,30
4,141,81,2,3230,20.4,30
4,151,79,1,2670,16,30
6,173,79,1,2595,11.3,30
4,68,73,2,1867,19.5,30
4,98,74,2,2219,16.5,30
4,97,75,3,2171,16,30
4,90,75,2,1937,14,30
4,85,76,1,2035,22.2,30
4,90,76,2,1937,14.2,30
4,97,77,2,1940,14.5,30
4,135,82,1,2525,16,30
4,97,76,2,1825,12.2,30
4,98,78,3,2135,16.6,30
4,134,80,3,2711,15.5,30
4,89,80,2,1845,15.3,30
4,98,81,1,2380,20.7,30
4,79,71,2,2074,19.5,30
4,88,71,2,2065,14.5,30
4,111,77,1,2155,14.8,30
4,97,77,3,1985,16.4,30
4,98,78,1,2155,16.5,30
4,146,80,2,3250,21.8,30
4,135,81,1,2385,12.9,30
4,98,77,1,2051,17,30
4,97,77,2,2190,14.1,30
6,145,81,2,3160,19.6,30
4,105,78,1,2230,14.5,30
4,71,71,3,1773,19,30
4,79,74,3,1950,19,30
4,76,74,3,1649,16.5,30
4,79,74,2,2000,16,30
4,112,82,1,2575,16.2,30
4,91,82,3,1970,17.6,30
4,119,82,1,2720,19.4,30
4,120,80,3,2542,17.5,30
4,98,77,3,2045,18.5,30
4,89,78,2,1990,14.9,30
4,120,81,3,2635,18.3,30
4,85,79,3,2020,19.2,30
4,89,79,2,1925,14,30
4,71,74,3,1836,21,30
4,83,74,3,2003,19,30
4,85,76,3,1990,17,30
4,91,82,3,1965,15.7,30
4,144,82,3,2665,13.9,30
4,135,82,1,2295,11.6,30
4,98,80,1,2120,15.5,30
4,108,80,3,2265,15.2,30
4,97,81,3,2065,17.8,30
4,107,80,3,2290,17,30
4,108,81,3,2350,16.8,30
6,168,80,3,2910,11.4,30
4,78,78,3,1985,19.4,30
4,119,81,3,2615,14.8,30
4,91,75,3,1795,17.5,30
4,91,76,3,1795,17.4,30
4,105,81,2,2190,14.2,30
4,85,77,3,1945,16.8,30
4,98,77,1,2075,15.9,30
4,151,79,1,2556,13.2,30
4,107,81,3,2210,14.4,30
4,97,80,3,2145,18,30
4,112,82,1,2395,18,30
4,108,82,3,2245,16.9,30
4,86,79,3,1975,15.2,30
4,91,81,3,1985,16,30
4,105,79,1,2200,13.2,30
4,97,80,2,2188,15.8,30
4,98,81,1,2045,16.2,30
4,105,79,1,2150,14.9,30
4,100,81,2,2320,15.8,30
4,105,81,1,2215,14.9,30
4,72,71,3,1613,18,40
4,122,80,2,2500,15.1,40
4,81,81,3,1760,16.1,40
4,98,79,1,1915,14.4,40
4,79,77,2,1825,18.6,40
4,105,82,2,1980,15.3,40
4,98,82,1,2125,17.3,40
4,120,82,3,2160,14.5,40
4,107,82,3,2205,14.5,40
4,135,82,1,2370,13,40
4,98,78,1,1800,14.4,40
4,91,78,3,1800,16.4,40
5,121,80,2,2950,19.9,40
4,119,80,3,2434,15,40
4,85,81,3,1975,19.4,40
4,91,82,3,2025,18.2,40
4,86,80,3,2019,16.4,40
4,91,79,2,2130,14.7,40
4,89,81,3,2050,17.3,40
4,105,82,1,2125,14.7,40
4,91,82,3,1965,15,40
4,91,82,3,1995,16.2,40
6,262,82,1,3015,17,40
4,89,80,3,1968,18.8,40
4,86,81,1,1875,16.4,40
4,79,81,3,1755,16.9,40
4,85,78,3,2070,18.6,40
4,85,80,3,2110,19.2,40
4,85,80,2,1835,17.3,40
4,98,80,2,2144,14.7,40
4,90,78,2,1985,21.5,40
4,90,80,2,2335,23.7,40
4,97,82,2,2130,24.6,40
4,90,80,2,2085,21.7,40
4,91,80,3,1850,13.8,40
4,86,80,3,2110,17.9,50